"watch_order","stage_number","stage","priority","title","channel","video_url","duration","what_to_learn","project_caveat","stage_goal","checkpoint","project_guide","source_checked_on","verification"
"11","3","Assemble the vacuum system","If needed","Working with CF Vacuum Flanges | Thorlabs Insights","Thorlabs","https://www.youtube.com/watch?v=AtKg32AAPTU","","Learn copper-gasket handling and CF feedthrough/flange assembly.","Only if your chamber uses CF flanges; CF and KF sealing procedures are different.","Learn clean flange handling, seals, feedthrough installation and leak-test concepts.","Record a repeatable pump-down curve using the actual pump and gauge manuals; resolve leaks before adding beam power.","MOUNTING.md","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"12","3","Assemble the vacuum system","Core","Leak detection methods - part 1: Integral test of parts under vacuum in helium","Pfeiffer Vacuum+Fab Solutions","https://www.youtube.com/watch?v=6uPzePpsxM8","","Understand the principle of helium leak testing a vacuum assembly.","Requires suitable leak-detection equipment; this is not a substitute for the pump and gauge manuals.","Learn clean flange handling, seals, feedthrough installation and leak-test concepts.","Record a repeatable pump-down curve using the actual pump and gauge manuals; resolve leaks before adding beam power.","MOUNTING.md","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"13","3","Assemble the vacuum system","Background","Functional principle of Duo 6 and Duo 6 M by Pfeiffer Vacuum","Pfeiffer Vacuum+Fab Solutions","https://www.youtube.com/watch?v=oXgdnnkIKZ4","","Understand rotary-vane backing pump operation.","Pump-specific illustration; use the actual backing and turbo controller manuals for sequencing.","Learn clean flange handling, seals, feedthrough installation and leak-test concepts.","Record a repeatable pump-down curve using the actual pump and gauge manuals; resolve leaks before adding beam power.","MOUNTING.md","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"14","4","Check low-voltage power","Start here","Instrument Basics: Bench Power Supplies - Workbench Wednesdays","element14 presents","https://www.youtube.com/watch?v=FfI3GRQbV0s","","Learn bench supply controls before powering prototype electronics.","Beam HV disconnected; the original detector, integrated detector and acceleration controller have different inputs.","Bring up each selected low-voltage board separately with beam HV disconnected and collector bias disabled.","Measure rails, current draw, startup, ripple and temperature against the selected board specifications.","power.html","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"15","4","Check low-voltage power","Core","3.2. Lab Guidance - Power Supply - Current Limiting","UNSW eLearning","https://www.youtube.com/watch?v=ubEjhhXEjxw","","Learn the current-limit function used in staged low-voltage bring-up.","Choose limits from the selected board’s load budget; current limiting does not establish HV isolation.","Bring up each selected low-voltage board separately with beam HV disconnected and collector bias disabled.","Measure rails, current draw, startup, ripple and temperature against the selected board specifications.","power.html","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"16","5","Build and calibrate the detector","Start here","TI Precision Labs - Transimpedance amps: Introduction","Texas Instruments","https://www.youtube.com/watch?v=33C8MmsCBuc","","Understand transimpedance gain, input capacitance and bandwidth.","Optical examples teach the amplifier principle; the first-build sensor is specimen current.","Start with the near-ground specimen-current LMC662 detector; learn current-to-voltage conversion.","Measure zero, gain, sign, noise and settling using known injected currents; verify holder isolation from the grounded stage.","current.html","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"17","5","Build and calibrate the detector","Core","How to Design Transimpedance Amplifier Circuits","Texas Instruments","https://www.youtube.com/watch?v=Q-AZpagmtCw","4:18","Relate input current, feedback resistance and measured output voltage.","The example current range is not the SEM pA/nA range; retain the project’s actual gain and offset network.","Start with the near-ground specimen-current LMC662 detector; learn current-to-voltage conversion.","Measure zero, gain, sign, noise and settling using known injected currents; verify holder isolation from the grounded stage.","current.html","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"18","5","Build and calibrate the detector","Background","Photodiode amplifier circuit","Texas Instruments","https://www.youtube.com/watch?v=EdX1MBvPMOw","4:47","Understand feedback, bandwidth and output-range constraints in a detector amplifier.","Different op amp and sensor; not a replacement circuit for the LMC662 board.","Start with the near-ground specimen-current LMC662 detector; learn current-to-voltage conversion.","Measure zero, gain, sign, noise and settling using known injected currents; verify holder isolation from the grounded stage.","current.html","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"19","6","Verify scanning and readout","Core","Electron beam control in a scanning electron microscope","Applied Science","https://www.youtube.com/watch?v=3OgsqhxwGmo","","Connect electron optics and deflection to raster scanning.","Beam Lab’s DAC80502 produces low-voltage commands; external electrode/lens drivers are separate.","Understand X/Y beam control, sampling and image reconstruction before connecting beam hardware.","Verify DAC center/endpoints, fresh ADC samples and scan timing on dummy loads; lens and plate drivers still need qualification.","scan.html","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"20","6","Verify scanning and readout","Core","Electron microscope image capture via microcontroller (with drill bit animation)","Applied Science","https://www.youtube.com/watch?v=ruuxn2u3yao","","Understand synchronization of scanning, signal sampling and pixel storage.","Use this repository’s ESP32 firmware and ADC timing, not the video’s controller pinout.","Understand X/Y beam control, sampling and image reconstruction before connecting beam hardware.","Verify DAC center/endpoints, fresh ADC samples and scan timing on dummy loads; lens and plate drivers still need qualification.","scan.html","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"21","7","Review gun and HV integration","Core","DIY Scanning Electron Microscope - Electron Gun Detail","Applied Science","https://www.youtube.com/watch?v=ZIJ1jI1xDhY","14:32","Understand thermionic emission, electrode roles and gun bias relationships.","Not a pinout for an unidentified gun or a UM6N4 wiring tutorial. Heater and Wehnelt supplies remain gun-specific.","Identify cathode, filament, Wehnelt and anode from the actual gun documentation.","Qualified review must resolve heater isolation, grounding, insulation, interlocks and discharge before energized integration.","https://github.com/aPR0T0/simplest-electron-microscope/blob/main/DESIGN_REPORT.md#11-commissioning-and-measurements","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"22","8","Prepare a first specimen","Core","Introduction to the Scanning Electron Microscope (SEM)","Duke University - SMIF","https://www.youtube.com/watch?v=8TaXtCOZV4o","","Review sample preparation and imaging on an established SEM.","Commercial SEM holder grounding can differ from this insulated specimen-current holder.","Start with a simple conductive specimen and understand charging and signal contrast.","Confirm a clean vacuum-compatible mount; for specimen-current detection the holder must remain insulated from the stage.","current.html","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"23","8","Prepare a first specimen","Background","Using a Scanning Electron Microscope","University of Leicester","https://www.youtube.com/watch?v=kNCCMK7l_rU","","Observe specimen handling and the general operator workflow.","Commercial controls and operating values are instrument-specific.","Start with a simple conductive specimen and understand charging and signal contrast.","Confirm a clean vacuum-compatible mount; for specimen-current detection the holder must remain insulated from the stage.","current.html","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"24","9","Acquire and improve the first image","Core","DIY Scanning Electron Microscope - Operation procedure","Applied Science","https://www.youtube.com/watch?v=zksVZCJajCI","9:52","See the end-to-end operating sequence on a homemade SEM.","Use only after project commissioning and boundary qualification; do not copy its operating setpoints.","Use a staged commissioning log and separate real electron signal from pickup.","Compare beam blanked, intercepted and on; save raw data, repeat images and change one variable at a time.","PHYSICS.md","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
"25","9","Acquire and improve the first image","Core","Electron microscope image capture with an oscilloscope","Applied Science","https://www.youtube.com/watch?v=SWVu-qPR-Ws","","Understand noise, dwell time, slow scanning and image capture tradeoffs.","Oscilloscope acquisition differs from the ESP32/ADS1115 path; compare measured timing and noise.","Use a staged commissioning log and separate real electron signal from pickup.","Compare beam blanked, intercepted and on; save raw data, repeat images and change one variable at a time.","PHYSICS.md","2026-09-15","Title/channel/link checked in YouTube listing; not full video review"
